Mutant Number,Operator Class,Killed by,Description
"
19,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@<init>:207:i < types.length |==> i != types.length
"
20,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","<(int,int):<=(int,int):org.joda.time.Partial@<init>:207:i < types.length |==> i <= types.length
"
21,ROR,['20'],"<(int,int):FALSE(int,int):org.joda.time.Partial@<init>:207:i < types.length |==> false
"
22,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:208:types[i] == null |==> false
"
23,LVR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@<init>:213:0 |==> 1
"
24,LVR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@<init>:213:0 |==> -1
"
25,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@<init>:213:i < types.length |==> i != types.length
"
26,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","<(int,int):<=(int,int):org.joda.time.Partial@<init>:213:i < types.length |==> i <= types.length
"
27,ROR,"['20', '101']","<(int,int):FALSE(int,int):org.joda.time.Partial@<init>:213:i < types.length |==> false
"
28,LVR,"['20', '101']","0:POS:org.joda.time.Partial@<init>:216:0 |==> 1
"
29,LVR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@<init>:216:0 |==> -1
"
30,ROR,[],">(int,int):!=(int,int):org.joda.time.Partial@<init>:216:i > 0 |==> i != 0
"
31,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']",">(int,int):>=(int,int):org.joda.time.Partial@<init>:216:i > 0 |==> i >= 0
"
32,ROR,"['20', '101']",">(int,int):FALSE(int,int):org.joda.time.Partial@<init>:216:i > 0 |==> false
"
33,LVR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","FALSE:TRUE:org.joda.time.Partial@<init>:217:false |==> true
"
34,ROR,['20'],"==(boolean,boolean):FALSE(boolean,boolean):org.joda.time.Partial@<init>:217:loopUnitField.isSupported() == false |==> false
"
35,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","==(boolean,boolean):LHS(boolean,boolean):org.joda.time.Partial@<init>:217:loopUnitField.isSupported() == false |==> loopUnitField.isSupported()
"
36,ROR,['20'],"==(boolean,boolean):RHS(boolean,boolean):org.joda.time.Partial@<init>:217:loopUnitField.isSupported() == false |==> false
"
37,COR,['20'],"lastUnitField.isSupported():TRUE:org.joda.time.Partial@<init>:218:lastUnitField.isSupported() |==> false
"
38,COR,['20'],"lastUnitField.isSupported():FALSE:org.joda.time.Partial@<init>:218:lastUnitField.isSupported() |==> true
"
39,LVR,[],"POS:0:org.joda.time.Partial@<init>:220:1 |==> 0
"
40,LVR,['20'],"POS:NEG:org.joda.time.Partial@<init>:220:1 |==> -1
"
41,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:220:i - 1 |==> i % 1
"
42,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:220:i - 1 |==> i * 1
"
43,AOR,['20'],"-(int,int):+(int,int):org.joda.time.Partial@<init>:220:i - 1 |==> i + 1
"
44,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:220:i - 1 |==> i / 1
"
45,LVR,[],"POS:0:org.joda.time.Partial@<init>:223:1 |==> 0
"
46,LVR,[],"POS:NEG:org.joda.time.Partial@<init>:223:1 |==> -1
"
47,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:223:i - 1 |==> i % 1
"
48,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:223:i - 1 |==> i * 1
"
49,AOR,[],"-(int,int):+(int,int):org.joda.time.Partial@<init>:223:i - 1 |==> i + 1
"
50,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:223:i - 1 |==> i / 1
"
51,LVR,"['20', '38', '101', '112']","0:POS:org.joda.time.Partial@<init>:227:0 |==> 1
"
52,LVR,['20'],"0:NEG:org.joda.time.Partial@<init>:227:0 |==> -1
"
53,ROR,"['3', '20', '31', '38', '46', '64', '66', '68', '73', '78', '85', '87', '98', '101', '109', '112', '116']","<(int,int):!=(int,int):org.joda.time.Partial@<init>:227:compare < 0 |==> compare != 0
"
54,ROR,"['20', '38', '101', '112']","<(int,int):<=(int,int):org.joda.time.Partial@<init>:227:compare < 0 |==> compare <= 0
"
55,ROR,['20'],"<(int,int):FALSE(int,int):org.joda.time.Partial@<init>:227:compare < 0 |==> false
"
56,LVR,[],"POS:0:org.joda.time.Partial@<init>:229:1 |==> 0
"
57,LVR,['20'],"POS:NEG:org.joda.time.Partial@<init>:229:1 |==> -1
"
58,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:229:i - 1 |==> i % 1
"
59,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:229:i - 1 |==> i * 1
"
60,AOR,['20'],"-(int,int):+(int,int):org.joda.time.Partial@<init>:229:i - 1 |==> i + 1
"
61,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:229:i - 1 |==> i / 1
"
62,LVR,"['20', '101']","0:POS:org.joda.time.Partial@<init>:230:0 |==> 1
"
63,LVR,"['20', '101']","0:NEG:org.joda.time.Partial@<init>:230:0 |==> -1
"
64,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@<init>:230:compare == 0 |==> compare <= 0
"
65,ROR,[],"==(int,int):>=(int,int):org.joda.time.Partial@<init>:230:compare == 0 |==> compare >= 0
"
66,ROR,"['20', '101']","==(int,int):FALSE(int,int):org.joda.time.Partial@<init>:230:compare == 0 |==> false
"
67,COR,"['64', '85', '87', '98', '101', '109']","&&(boolean,boolean):==(boolean,boolean):org.joda.time.Partial@<init>:230:compare == 0 && lastUnitField.equals(loopUnitField) |==> compare == 0 == lastUnitField.equals(loopUnitField)
"
68,COR,"['20', '101']","&&(boolean,boolean):FALSE(boolean,boolean):org.joda.time.Partial@<init>:230:compare == 0 && lastUnitField.equals(loopUnitField) |==> false
"
69,COR,['101'],"&&(boolean,boolean):LHS(boolean,boolean):org.joda.time.Partial@<init>:230:compare == 0 && lastUnitField.equals(loopUnitField) |==> compare == 0
"
70,COR,[],"&&(boolean,boolean):RHS(boolean,boolean):org.joda.time.Partial@<init>:230:compare == 0 && lastUnitField.equals(loopUnitField) |==> lastUnitField.equals(loopUnitField)
"
71,LVR,['20'],"POS:0:org.joda.time.Partial@<init>:231:1 |==> 0
"
72,LVR,"['20', '38', '101', '112']","POS:NEG:org.joda.time.Partial@<init>:231:1 |==> -1
"
73,AOR,['20'],"-(int,int):%(int,int):org.joda.time.Partial@<init>:231:i - 1 |==> i % 1
"
74,AOR,['20'],"-(int,int):*(int,int):org.joda.time.Partial@<init>:231:i - 1 |==> i * 1
"
75,AOR,"['20', '38', '101', '112']","-(int,int):+(int,int):org.joda.time.Partial@<init>:231:i - 1 |==> i + 1
"
76,AOR,['20'],"-(int,int):/(int,int):org.joda.time.Partial@<init>:231:i - 1 |==> i / 1
"
77,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:231:types[i - 1].getRangeDurationType() == null |==> false
"
78,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:232:loopType.getRangeDurationType() == null |==> false
"
79,LVR,[],"POS:0:org.joda.time.Partial@<init>:234:1 |==> 0
"
80,LVR,['20'],"POS:NEG:org.joda.time.Partial@<init>:234:1 |==> -1
"
81,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:234:i - 1 |==> i % 1
"
82,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:234:i - 1 |==> i * 1
"
83,AOR,['20'],"-(int,int):+(int,int):org.joda.time.Partial@<init>:234:i - 1 |==> i + 1
"
84,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:234:i - 1 |==> i / 1
"
85,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:237:loopType.getRangeDurationType() == null |==> false
"
86,LVR,[],"POS:0:org.joda.time.Partial@<init>:239:1 |==> 0
"
87,LVR,[],"POS:NEG:org.joda.time.Partial@<init>:239:1 |==> -1
"
88,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:239:i - 1 |==> i % 1
"
89,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:239:i - 1 |==> i * 1
"
90,AOR,[],"-(int,int):+(int,int):org.joda.time.Partial@<init>:239:i - 1 |==> i + 1
"
91,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:239:i - 1 |==> i / 1
"
92,LVR,"['20', '38', '101', '112']","POS:0:org.joda.time.Partial@<init>:241:1 |==> 0
"
93,LVR,"['20', '38', '101', '112']","POS:NEG:org.joda.time.Partial@<init>:241:1 |==> -1
"
94,AOR,"['20', '38', '112']","-(int,int):%(int,int):org.joda.time.Partial@<init>:241:i - 1 |==> i % 1
"
95,AOR,"['20', '38', '101', '112']","-(int,int):*(int,int):org.joda.time.Partial@<init>:241:i - 1 |==> i * 1
"
96,AOR,"['20', '38', '101', '112']","-(int,int):+(int,int):org.joda.time.Partial@<init>:241:i - 1 |==> i + 1
"
97,AOR,"['20', '38', '101', '112']","-(int,int):/(int,int):org.joda.time.Partial@<init>:241:i - 1 |==> i / 1
"
98,LVR,['20'],"0:POS:org.joda.time.Partial@<init>:243:0 |==> 1
"
99,LVR,['20'],"0:NEG:org.joda.time.Partial@<init>:243:0 |==> -1
"
100,ROR,"['20', '38', '101', '112']","<(int,int):!=(int,int):org.joda.time.Partial@<init>:243:lastRangeField.compareTo(loopRangeField) < 0 |==> lastRangeField.compareTo(loopRangeField) != 0
"
101,ROR,['20'],"<(int,int):<=(int,int):org.joda.time.Partial@<init>:243:lastRangeField.compareTo(loopRangeField) < 0 |==> lastRangeField.compareTo(loopRangeField) <= 0
"
102,ROR,['20'],"<(int,int):FALSE(int,int):org.joda.time.Partial@<init>:243:lastRangeField.compareTo(loopRangeField) < 0 |==> false
"
103,LVR,[],"POS:0:org.joda.time.Partial@<init>:245:1 |==> 0
"
104,LVR,['20'],"POS:NEG:org.joda.time.Partial@<init>:245:1 |==> -1
"
105,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:245:i - 1 |==> i % 1
"
106,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:245:i - 1 |==> i * 1
"
107,AOR,['20'],"-(int,int):+(int,int):org.joda.time.Partial@<init>:245:i - 1 |==> i + 1
"
108,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:245:i - 1 |==> i / 1
"
109,LVR,"['20', '38', '101', '112']","0:POS:org.joda.time.Partial@<init>:247:0 |==> 1
"
110,LVR,"['20', '101']","0:NEG:org.joda.time.Partial@<init>:247:0 |==> -1
"
111,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@<init>:247:lastRangeField.compareTo(loopRangeField) == 0 |==> lastRangeField.compareTo(loopRangeField) <= 0
"
112,ROR,"['38', '101', '112']","==(int,int):>=(int,int):org.joda.time.Partial@<init>:247:lastRangeField.compareTo(loopRangeField) == 0 |==> lastRangeField.compareTo(loopRangeField) >= 0
"
113,ROR,"['20', '101']","==(int,int):FALSE(int,int):org.joda.time.Partial@<init>:247:lastRangeField.compareTo(loopRangeField) == 0 |==> false
"
114,LVR,[],"POS:0:org.joda.time.Partial@<init>:249:1 |==> 0
"
115,LVR,['20'],"POS:NEG:org.joda.time.Partial@<init>:249:1 |==> -1
"
116,AOR,[],"-(int,int):%(int,int):org.joda.time.Partial@<init>:249:i - 1 |==> i % 1
"
117,AOR,[],"-(int,int):*(int,int):org.joda.time.Partial@<init>:249:i - 1 |==> i * 1
"
118,AOR,['20'],"-(int,int):+(int,int):org.joda.time.Partial@<init>:249:i - 1 |==> i + 1
"
119,AOR,[],"-(int,int):/(int,int):org.joda.time.Partial@<init>:249:i - 1 |==> i / 1
"
120,STD,['20'],"<CALL>:<NO-OP>:org.joda.time.Partial@<init>:258:chronology.validate(this, values) |==> <NO-OP>
"
121,ROR,['20'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@<init>:270:partial == null |==> false
"
122,LVR,"['20', '38']","0:POS:org.joda.time.Partial@<init>:276:0 |==> 1
"
123,LVR,"['20', '38']","0:NEG:org.joda.time.Partial@<init>:276:0 |==> -1
"
124,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@<init>:276:i < partial.size() |==> i != partial.size()
"
125,ROR,"['20', '38']","<(int,int):<=(int,int):org.joda.time.Partial@<init>:276:i < partial.size() |==> i <= partial.size()
"
126,ROR,"['20', '38']","<(int,int):FALSE(int,int):org.joda.time.Partial@<init>:276:i < partial.size() |==> false
"
127,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@withChronologyRetainFields:413:newChronology == getChronology() |==> false
"
128,STD,[],"<CALL>:<NO-OP>:org.joda.time.Partial@withChronologyRetainFields:417:newChronology.validate(newPartial, iValues) |==> <NO-OP>
"
129,ROR,['101'],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@with:438:fieldType == null |==> false
"
130,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","NEG:0:org.joda.time.Partial@with:442:-1 |==> 0
"
131,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","NEG:POS:org.joda.time.Partial@with:442:-1 |==> 1
"
132,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@with:442:index == -1 |==> index <= -1
"
133,ROR,['101'],"==(int,int):>=(int,int):org.joda.time.Partial@with:442:index == -1 |==> index >= -1
"
134,ROR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","==(int,int):FALSE(int,int):org.joda.time.Partial@with:442:index == -1 |==> false
"
135,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:0:org.joda.time.Partial@with:443:1 |==> 0
"
136,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:NEG:org.joda.time.Partial@with:443:1 |==> -1
"
137,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):%(int,int):org.joda.time.Partial@with:443:iTypes.length + 1 |==> iTypes.length % 1
"
138,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):*(int,int):org.joda.time.Partial@with:443:iTypes.length + 1 |==> iTypes.length * 1
"
139,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):-(int,int):org.joda.time.Partial@with:443:iTypes.length + 1 |==> iTypes.length - 1
"
140,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):/(int,int):org.joda.time.Partial@with:443:iTypes.length + 1 |==> iTypes.length / 1
"
141,LVR,"['64', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@with:447:0 |==> 1
"
142,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:447:0 |==> -1
"
143,COR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","unitField.isSupported():TRUE:org.joda.time.Partial@with:449:unitField.isSupported() |==> false
"
144,COR,[],"unitField.isSupported():FALSE:org.joda.time.Partial@with:449:unitField.isSupported() |==> true
"
145,ROR,[],"<(int,int):!=(int,int):org.joda.time.Partial@with:450:i < iTypes.length |==> i != iTypes.length
"
146,ROR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","<(int,int):<=(int,int):org.joda.time.Partial@with:450:i < iTypes.length |==> i <= iTypes.length
"
147,ROR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","<(int,int):FALSE(int,int):org.joda.time.Partial@with:450:i < iTypes.length |==> false
"
148,COR,"['64', '85', '87', '98', '101', '109']","loopUnitField.isSupported():TRUE:org.joda.time.Partial@with:453:loopUnitField.isSupported() |==> false
"
149,COR,['101'],"loopUnitField.isSupported():FALSE:org.joda.time.Partial@with:453:loopUnitField.isSupported() |==> true
"
150,LVR,"['64', '85', '87', '98', '101', '109']","0:POS:org.joda.time.Partial@with:455:0 |==> 1
"
151,LVR,['38'],"0:NEG:org.joda.time.Partial@with:455:0 |==> -1
"
152,ROR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']",">(int,int):!=(int,int):org.joda.time.Partial@with:455:compare > 0 |==> compare != 0
"
153,ROR,['38'],">(int,int):>=(int,int):org.joda.time.Partial@with:455:compare > 0 |==> compare >= 0
"
154,ROR,"['64', '85', '87', '98', '101', '109']",">(int,int):FALSE(int,int):org.joda.time.Partial@with:455:compare > 0 |==> false
"
155,LVR,['101'],"0:POS:org.joda.time.Partial@with:457:0 |==> 1
"
156,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:457:0 |==> -1
"
157,ROR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","==(int,int):<=(int,int):org.joda.time.Partial@with:457:compare == 0 |==> compare <= 0
"
158,ROR,[],"==(int,int):>=(int,int):org.joda.time.Partial@with:457:compare == 0 |==> compare >= 0
"
159,ROR,['101'],"==(int,int):FALSE(int,int):org.joda.time.Partial@with:457:compare == 0 |==> false
"
160,ROR,[],"==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.joda.time.Partial@with:458:fieldType.getRangeDurationType() == null |==> false
"
161,LVR,['101'],"0:POS:org.joda.time.Partial@with:463:0 |==> 1
"
162,LVR,[],"0:NEG:org.joda.time.Partial@with:463:0 |==> -1
"
163,ROR,['38'],">(int,int):!=(int,int):org.joda.time.Partial@with:463:rangeField.compareTo(loopRangeField) > 0 |==> rangeField.compareTo(loopRangeField) != 0
"
164,ROR,[],">(int,int):>=(int,int):org.joda.time.Partial@with:463:rangeField.compareTo(loopRangeField) > 0 |==> rangeField.compareTo(loopRangeField) >= 0
"
165,ROR,['101'],">(int,int):FALSE(int,int):org.joda.time.Partial@with:463:rangeField.compareTo(loopRangeField) > 0 |==> false
"
166,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@with:470:0 |==> 1
"
167,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:470:0 |==> -1
"
168,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@with:470:0 |==> 1
"
169,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:470:0 |==> -1
"
170,STD,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","<CALL>:<NO-OP>:org.joda.time.Partial@with:470:System.arraycopy(iTypes, 0, newTypes, 0, i) |==> <NO-OP>
"
171,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:POS:org.joda.time.Partial@with:471:0 |==> 1
"
172,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:471:0 |==> -1
"
173,LVR,"['38', '101', '116']","0:POS:org.joda.time.Partial@with:471:0 |==> 1
"
174,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","0:NEG:org.joda.time.Partial@with:471:0 |==> -1
"
175,STD,"['38', '101', '116']","<CALL>:<NO-OP>:org.joda.time.Partial@with:471:System.arraycopy(iValues, 0, newValues, 0, i) |==> <NO-OP>
"
176,LVR,"['64', '85', '87', '98', '101', '109']","POS:0:org.joda.time.Partial@with:474:1 |==> 0
"
177,LVR,"['64', '85', '87', '98', '101', '109', '112', '116']","POS:NEG:org.joda.time.Partial@with:474:1 |==> -1
"
178,AOR,"['64', '85', '87', '98', '101', '109']","+(int,int):%(int,int):org.joda.time.Partial@with:474:i + 1 |==> i % 1
"
179,AOR,"['64', '85', '87', '98', '101', '109']","+(int,int):*(int,int):org.joda.time.Partial@with:474:i + 1 |==> i * 1
"
180,AOR,"['64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):-(int,int):org.joda.time.Partial@with:474:i + 1 |==> i - 1
"
181,AOR,"['64', '85', '87', '98', '101', '109']","+(int,int):/(int,int):org.joda.time.Partial@with:474:i + 1 |==> i / 1
"
182,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):%(int,int):org.joda.time.Partial@with:474:newTypes.length - i |==> newTypes.length % i
"
183,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):*(int,int):org.joda.time.Partial@with:474:newTypes.length - i |==> newTypes.length * i
"
184,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):+(int,int):org.joda.time.Partial@with:474:newTypes.length - i |==> newTypes.length + i
"
185,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):/(int,int):org.joda.time.Partial@with:474:newTypes.length - i |==> newTypes.length / i
"
186,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:0:org.joda.time.Partial@with:474:1 |==> 0
"
187,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:NEG:org.joda.time.Partial@with:474:1 |==> -1
"
188,AOR,"['64', '85', '87', '98', '101', '109']","-(int,int):%(int,int):org.joda.time.Partial@with:474:newTypes.length - i - 1 |==> (newTypes.length - i) % 1
"
189,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):*(int,int):org.joda.time.Partial@with:474:newTypes.length - i - 1 |==> (newTypes.length - i) * 1
"
190,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):+(int,int):org.joda.time.Partial@with:474:newTypes.length - i - 1 |==> newTypes.length - i + 1
"
191,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):/(int,int):org.joda.time.Partial@with:474:newTypes.length - i - 1 |==> (newTypes.length - i) / 1
"
192,STD,"['64', '85', '87', '98', '101', '109']","<CALL>:<NO-OP>:org.joda.time.Partial@with:474:System.arraycopy(iTypes, i, newTypes, i + 1, newTypes.length - i - 1) |==> <NO-OP>
"
193,LVR,"['64', '85', '87', '98', '101', '109']","POS:0:org.joda.time.Partial@with:475:1 |==> 0
"
194,LVR,"['64', '85', '87', '98', '101', '109', '112', '116']","POS:NEG:org.joda.time.Partial@with:475:1 |==> -1
"
195,AOR,['101'],"+(int,int):%(int,int):org.joda.time.Partial@with:475:i + 1 |==> i % 1
"
196,AOR,"['64', '85', '87', '98', '101', '109']","+(int,int):*(int,int):org.joda.time.Partial@with:475:i + 1 |==> i * 1
"
197,AOR,"['64', '85', '87', '98', '101', '109', '112', '116']","+(int,int):-(int,int):org.joda.time.Partial@with:475:i + 1 |==> i - 1
"
198,AOR,"['64', '85', '87', '98', '101', '109']","+(int,int):/(int,int):org.joda.time.Partial@with:475:i + 1 |==> i / 1
"
199,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):%(int,int):org.joda.time.Partial@with:475:newValues.length - i |==> newValues.length % i
"
200,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):*(int,int):org.joda.time.Partial@with:475:newValues.length - i |==> newValues.length * i
"
201,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):+(int,int):org.joda.time.Partial@with:475:newValues.length - i |==> newValues.length + i
"
202,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):/(int,int):org.joda.time.Partial@with:475:newValues.length - i |==> newValues.length / i
"
203,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:0:org.joda.time.Partial@with:475:1 |==> 0
"
204,LVR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","POS:NEG:org.joda.time.Partial@with:475:1 |==> -1
"
205,AOR,['101'],"-(int,int):%(int,int):org.joda.time.Partial@with:475:newValues.length - i - 1 |==> (newValues.length - i) % 1
"
206,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):*(int,int):org.joda.time.Partial@with:475:newValues.length - i - 1 |==> (newValues.length - i) * 1
"
207,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):+(int,int):org.joda.time.Partial@with:475:newValues.length - i - 1 |==> newValues.length - i + 1
"
208,AOR,"['38', '64', '85', '87', '98', '101', '109', '112', '116']","-(int,int):/(int,int):org.joda.time.Partial@with:475:newValues.length - i - 1 |==> (newValues.length - i) / 1
"
209,STD,['101'],"<CALL>:<NO-OP>:org.joda.time.Partial@with:475:System.arraycopy(iValues, i, newValues, i + 1, newValues.length - i - 1) |==> <NO-OP>
"
210,STD,[],"<CALL>:<NO-OP>:org.joda.time.Partial@with:479:iChronology.validate(newPartial, newValues) |==> <NO-OP>
"
211,ROR,[],"==(int,int):<=(int,int):org.joda.time.Partial@with:482:value == getValue(index) |==> value <= getValue(index)
